Id,Category,Title,Abstract,label
2305.14965v1,cs.CL,"Tricking LLMs into Disobedience: Understanding, Analyzing, and Preventing Jailbreaks","Recent explorations with commercial Large Language Models (LLMs) have shown
that non-expert users can jailbreak LLMs by simply manipulating the prompts;
resulting in degenerate output behavior, privacy and security breaches,
offensive outputs, and violations of content regulator policies. Limited formal
studies have been carried out to formalize and analyze these attacks and their
mitigations. We bridge this gap by proposing a formalism and a taxonomy of
known (and possible) jailbreaks. We perform a survey of existing jailbreak
methods and their effectiveness on open-source and commercial LLMs (such as GPT
3.5, OPT, BLOOM, and FLAN-T5-xxl). We further propose a limited set of prompt
guards and discuss their effectiveness against known attack types.",10
2301.02737v2,cs.SI,Understanding the (In)Effectiveness of Content Moderation: A Case Study of Facebook in the Context of the U.S. Capitol Riot,"Social media networks commonly employ content moderation as a tool to limit
the spread of harmful content. However, the efficacy of this strategy in
limiting the delivery of harmful content to users is not well understood. In
this paper, we create a framework to quantify the efficacy of content
moderation and use our metrics to analyze content removal on Facebook within
the U.S. news ecosystem. In a data set of over 2M posts with 1.6B user
engagements collected from 2,551 U.S. news sources before and during the
Capitol Riot on January 6, 2021, we identify 10,811 removed posts. We find that
the active engagement life cycle of Facebook posts is very short, with 90% of
all engagement occurring within the first 30 hours after posting. Thus, even
relatively quick intervention allowed significant accrual of engagement before
removal, and prevented only 21% of the predicted engagement potential during a
baseline period before the U.S. Capitol attack. Nearly a week after the attack,
Facebook began removing older content, but these removals occurred so late in
these posts' engagement life cycles that they disrupted less than 1% of
predicted future engagement, highlighting the limited impact of this
intervention. Content moderation likely has limits in its ability to prevent
engagement, especially in a crisis, and we recommend that other approaches such
as slowing down the rate of content diffusion be investigated.",8
2003.01207v1,cs.AI,BARD: A structured technique for group elicitation of Bayesian networks to support analytic reasoning,"In many complex, real-world situations, problem solving and decision making
require effective reasoning about causation and uncertainty. However, human
reasoning in these cases is prone to confusion and error. Bayesian networks
(BNs) are an artificial intelligence technology that models uncertain
situations, supporting probabilistic and causal reasoning and decision making.
However, to date, BN methodologies and software require significant upfront
training, do not provide much guidance on the model building process, and do
not support collaboratively building BNs. BARD (Bayesian ARgumentation via
Delphi) is both a methodology and an expert system that utilises (1) BNs as the
underlying structured representations for better argument analysis, (2) a
multi-user web-based software platform and Delphi-style social processes to
assist with collaboration, and (3) short, high-quality e-courses on demand, a
highly structured process to guide BN construction, and a variety of helpful
tools to assist in building and reasoning with BNs, including an automated
explanation tool to assist effective report writing. The result is an
end-to-end online platform, with associated online training, for groups without
prior BN expertise to understand and analyse a problem, build a model of its
underlying probabilistic causal structure, validate and reason with the causal
model, and use it to produce a written analytic report. Initial experimental
results demonstrate that BARD aids in problem solving, reasoning and
collaboration.",10
2204.02311v5,cs.CL,PaLM: Scaling Language Modeling with Pathways,"Large language models have been shown to achieve remarkable performance
across a variety of natural language tasks using few-shot learning, which
drastically reduces the number of task-specific training examples needed to
adapt the model to a particular application. To further our understanding of
the impact of scale on few-shot learning, we trained a 540-billion parameter,
densely activated, Transformer language model, which we call Pathways Language
Model PaLM. We trained PaLM on 6144 TPU v4 chips using Pathways, a new ML
system which enables highly efficient training across multiple TPU Pods. We
demonstrate continued benefits of scaling by achieving state-of-the-art
few-shot learning results on hundreds of language understanding and generation
benchmarks. On a number of these tasks, PaLM 540B achieves breakthrough
performance, outperforming the finetuned state-of-the-art on a suite of
multi-step reasoning tasks, and outperforming average human performance on the
recently released BIG-bench benchmark. A significant number of BIG-bench tasks
showed discontinuous improvements from model scale, meaning that performance
steeply increased as we scaled to our largest model. PaLM also has strong
capabilities in multilingual tasks and source code generation, which we
demonstrate on a wide array of benchmarks. We additionally provide a
comprehensive analysis on bias and toxicity, and study the extent of training
data memorization with respect to model scale. Finally, we discuss the ethical
considerations related to large language models and discuss potential
mitigation strategies.",10
2307.12008v1,cond-mat.supr-con,The First Room-Temperature Ambient-Pressure Superconductor,"For the first time in the world, we succeeded in synthesizing the
room-temperature superconductor ($T_c \ge 400$ K, 127$^\circ$C) working at
ambient pressure with a modified lead-apatite (LK-99) structure. The
superconductivity of LK-99 is proved with the Critical temperature ($T_c$),
Zero-resistivity, Critical current ($I_c$), Critical magnetic field ($H_c$),
and the Meissner effect. The superconductivity of LK-99 originates from minute
structural distortion by a slight volume shrinkage (0.48 %), not by external
factors such as temperature and pressure. The shrinkage is caused by Cu$^{2+}$
substitution of Pb$^{2+}$(2) ions in the insulating network of Pb(2)-phosphate
and it generates the stress. It concurrently transfers to Pb(1) of the
cylindrical column resulting in distortion of the cylindrical column interface,
which creates superconducting quantum wells (SQWs) in the interface. The heat
capacity results indicated that the new model is suitable for explaining the
superconductivity of LK-99. The unique structure of LK-99 that allows the
minute distorted structure to be maintained in the interfaces is the most
important factor that LK-99 maintains and exhibits superconductivity at room
temperatures and ambient pressure.",10
2308.15122v1,cs.CL,SpikeBERT: A Language Spikformer Trained with Two-Stage Knowledge Distillation from BERT,"Spiking neural networks (SNNs) offer a promising avenue to implement deep
neural networks in a more energy-efficient way. However, the network
architectures of existing SNNs for language tasks are too simplistic, and deep
architectures have not been fully explored, resulting in a significant
performance gap compared to mainstream transformer-based networks such as BERT.
To this end, we improve a recently-proposed spiking transformer (i.e.,
Spikformer) to make it possible to process language tasks and propose a
two-stage knowledge distillation method for training it, which combines
pre-training by distilling knowledge from BERT with a large collection of
unlabelled texts and fine-tuning with task-specific instances via knowledge
distillation again from the BERT fine-tuned on the same training examples.
Through extensive experimentation, we show that the models trained with our
method, named SpikeBERT, outperform state-of-the-art SNNs and even achieve
comparable results to BERTs on text classification tasks for both English and
Chinese with much less energy consumption.",6
2308.12939v1,cs.LG,Learning Only On Boundaries: a Physics-Informed Neural operator for Solving Parametric Partial Differential Equations in Complex Geometries,"Recently deep learning surrogates and neural operators have shown promise in
solving partial differential equations (PDEs). However, they often require a
large amount of training data and are limited to bounded domains. In this work,
we present a novel physics-informed neural operator method to solve
parametrized boundary value problems without labeled data. By reformulating the
PDEs into boundary integral equations (BIEs), we can train the operator network
solely on the boundary of the domain. This approach reduces the number of
required sample points from $O(N^d)$ to $O(N^{d-1})$, where $d$ is the domain's
dimension, leading to a significant acceleration of the training process.
Additionally, our method can handle unbounded problems, which are unattainable
for existing physics-informed neural networks (PINNs) and neural operators. Our
numerical experiments show the effectiveness of parametrized complex geometries
and unbounded problems.",1
2308.13028v1,quant-ph,Training Neural Networks with Universal Adiabatic Quantum Computing,"The training of neural networks (NNs) is a computationally intensive task
requiring significant time and resources. This paper presents a novel approach
to NN training using Adiabatic Quantum Computing (AQC), a paradigm that
leverages the principles of adiabatic evolution to solve optimisation problems.
We propose a universal AQC method that can be implemented on gate quantum
computers, allowing for a broad range of Hamiltonians and thus enabling the
training of expressive neural networks. We apply this approach to various
neural networks with continuous, discrete, and binary weights. Our results
indicate that AQC can very efficiently find the global minimum of the loss
function, offering a promising alternative to classical training methods.",3
2308.13214v1,math.NA,Gl-QFOM and Gl-QGMRES: two efficient algorithms for quaternion linear systems with multiple right-hand sides,"In this paper, we propose the global quaternion full orthogonalization
(Gl-QFOM) and global quaternion generalized minimum residual (Gl-QGMRES)
methods, which are built upon global orthogonal and oblique projections onto a
quaternion matrix Krylov subspace, for solving quaternion linear systems with
multiple right-hand sides. We first develop the global quaternion Arnoldi
procedure to preserve the quaternion Hessenberg form during the iterations. We
then establish the convergence analysis of the proposed methods, and show how
to apply them to solve the Sylvester quaternion matrix equation. Numerical
examples are provided to illustrate the effectiveness of our methods compared
with the traditional Gl-FOM and Gl-GMRES iterations for the real
representations of the original linear systems.",3
2308.15027v1,cs.IR,Improving Neural Ranking Models with Traditional IR Methods,"Neural ranking methods based on large transformer models have recently gained
significant attention in the information retrieval community, and have been
adopted by major commercial solutions. Nevertheless, they are computationally
expensive to create, and require a great deal of labeled data for specialized
corpora. In this paper, we explore a low resource alternative which is a
bag-of-embedding model for document retrieval and find that it is competitive
with large transformer models fine tuned on information retrieval tasks. Our
results show that a simple combination of TF-IDF, a traditional keyword
matching method, with a shallow embedding model provides a low cost path to
compete well with the performance of complex neural ranking models on 3
datasets. Furthermore, adding TF-IDF measures improves the performance of
large-scale fine tuned models on these tasks.",4
2308.13517v1,cs.CL,ChatGPT as Data Augmentation for Compositional Generalization: A Case Study in Open Intent Detection,"Open intent detection, a crucial aspect of natural language understanding,
involves the identification of previously unseen intents in user-generated
text. Despite the progress made in this field, challenges persist in handling
new combinations of language components, which is essential for compositional
generalization. In this paper, we present a case study exploring the use of
ChatGPT as a data augmentation technique to enhance compositional
generalization in open intent detection tasks. We begin by discussing the
limitations of existing benchmarks in evaluating this problem, highlighting the
need for constructing datasets for addressing compositional generalization in
open intent detection tasks. By incorporating synthetic data generated by
ChatGPT into the training process, we demonstrate that our approach can
effectively improve model performance. Rigorous evaluation of multiple
benchmarks reveals that our method outperforms existing techniques and
significantly enhances open intent detection capabilities. Our findings
underscore the potential of large language models like ChatGPT for data
augmentation in natural language understanding tasks.",6
2308.13916v1,cs.CL,Exploring Large Language Models for Knowledge Graph Completion,"Knowledge graphs play a vital role in numerous artificial intelligence tasks,
yet they frequently face the issue of incompleteness. In this study, we explore
utilizing Large Language Models (LLM) for knowledge graph completion. We
consider triples in knowledge graphs as text sequences and introduce an
innovative framework called Knowledge Graph LLM (KG-LLM) to model these
triples. Our technique employs entity and relation descriptions of a triple as
prompts and utilizes the response for predictions. Experiments on various
benchmark knowledge graphs demonstrate that our method attains state-of-the-art
performance in tasks such as triple classification and relation prediction. We
also find that fine-tuning relatively smaller models (e.g., LLaMA-7B,
ChatGLM-6B) outperforms recent ChatGPT and GPT-4.",6
2308.13958v1,cs.CL,"Improving Knowledge Distillation for BERT Models: Loss Functions, Mapping Methods, and Weight Tuning","The use of large transformer-based models such as BERT, GPT, and T5 has led
to significant advancements in natural language processing. However, these
models are computationally expensive, necessitating model compression
techniques that reduce their size and complexity while maintaining accuracy.
This project investigates and applies knowledge distillation for BERT model
compression, specifically focusing on the TinyBERT student model. We explore
various techniques to improve knowledge distillation, including experimentation
with loss functions, transformer layer mapping methods, and tuning the weights
of attention and representation loss and evaluate our proposed techniques on a
selection of downstream tasks from the GLUE benchmark. The goal of this work is
to improve the efficiency and effectiveness of knowledge distillation, enabling
the development of more efficient and accurate models for a range of natural
language processing tasks.",8
2308.14186v1,cs.CL,Empowering Cross-lingual Abilities of Instruction-tuned Large Language Models by Translation-following demonstrations,"The language ability of Large Language Models (LLMs) is often unbalanced
towards English because of the imbalance in the distribution of the
pre-training data. This disparity is demanded in further fine-tuning and
affecting the cross-lingual abilities of LLMs. In this paper, we propose to
empower Instructiontuned LLMs (It-LLMs) in languages other than English by
building semantic alignment between them. Hence, we propose CrossAlpaca, an
It-LLM with cross-lingual instruction-following and Translation-following
demonstrations to improve semantic alignment between languages. We validate our
approach on the multilingual Question Answering (QA) benchmarks XQUAD and MLQA
and adapted versions of MMLU and BBH. Our models, tested over six different
languages, outperform the It-LLMs tuned on monolingual data. The final results
show that instruction tuning on non-English data is not enough and that
semantic alignment can be further improved by Translation-following
demonstrations.",2
2308.14995v1,cs.CV,WSAM: Visual Explanations from Style Augmentation as Adversarial Attacker and Their Influence in Image Classification,"Currently, style augmentation is capturing attention due to convolutional
neural networks (CNN) being strongly biased toward recognizing textures rather
than shapes. Most existing styling methods either perform a low-fidelity style
transfer or a weak style representation in the embedding vector. This paper
outlines a style augmentation algorithm using stochastic-based sampling with
noise addition to improving randomization on a general linear transformation
for style transfer. With our augmentation strategy, all models not only present
incredible robustness against image stylizing but also outperform all previous
methods and surpass the state-of-the-art performance for the STL-10 dataset. In
addition, we present an analysis of the model interpretations under different
style variations. At the same time, we compare comprehensive experiments
demonstrating the performance when applied to deep neural architectures in
training settings.",5
2308.14641v2,cs.CL,Challenges of GPT-3-based Conversational Agents for Healthcare,"The potential to provide patients with faster information access while
allowing medical specialists to concentrate on critical tasks makes medical
domain dialog agents appealing. However, the integration of large-language
models (LLMs) into these agents presents certain limitations that may result in
serious consequences. This paper investigates the challenges and risks of using
GPT-3-based models for medical question-answering (MedQA). We perform several
evaluations contextualized in terms of standard medical principles. We provide
a procedure for manually designing patient queries to stress-test high-risk
limitations of LLMs in MedQA systems. Our analysis reveals that LLMs fail to
respond adequately to these queries, generating erroneous medical information,
unsafe recommendations, and content that may be considered offensive.",5
2308.14634v1,cs.CL,Breaking the Bank with ChatGPT: Few-Shot Text Classification for Finance,"We propose the use of conversational GPT models for easy and quick few-shot
text classification in the financial domain using the Banking77 dataset. Our
approach involves in-context learning with GPT-3.5 and GPT-4, which minimizes
the technical expertise required and eliminates the need for expensive GPU
computing while yielding quick and accurate results. Additionally, we fine-tune
other pre-trained, masked language models with SetFit, a recent contrastive
learning technique, to achieve state-of-the-art results both in full-data and
few-shot settings. Our findings show that querying GPT-3.5 and GPT-4 can
outperform fine-tuned, non-generative models even with fewer examples. However,
subscription fees associated with these solutions may be considered costly for
small organizations. Lastly, we find that generative models perform better on
the given task when shown representative samples selected by a human expert
rather than when shown random ones. We conclude that a) our proposed methods
offer a practical solution for few-shot tasks in datasets with limited label
availability, and b) our state-of-the-art results can inspire future work in
the area.",6
2308.15232v1,cs.LG,Classification-Aware Neural Topic Model Combined With Interpretable Analysis -- For Conflict Classification,"A large number of conflict events are affecting the world all the time. In
order to analyse such conflict events effectively, this paper presents a
Classification-Aware Neural Topic Model (CANTM-IA) for Conflict Information
Classification and Topic Discovery. The model provides a reliable
interpretation of classification results and discovered topics by introducing
interpretability analysis. At the same time, interpretation is introduced into
the model architecture to improve the classification performance of the model
and to allow interpretation to focus further on the details of the data.
Finally, the model architecture is optimised to reduce the complexity of the
model.",6
2308.13782v1,cs.CL,Planning with Logical Graph-based Language Model for Instruction Generation,"Despite the superior performance of large language models to generate natural
language texts, it is hard to generate texts with correct logic according to a
given task, due to the difficulties for neural models to capture implied rules
from free-form texts. In this paper, we propose a novel graph-based language
model, Logical-GLM, to infuse logic into language models for more valid text
generation and interpretability. Specifically, we first capture information
from natural language instructions and construct logical bayes graphs that
generally describe domains. Next, we generate logical skeletons to guide
language model training, infusing domain knowledge into language models.
Finally, we alternately optimize the searching policy of graphs and language
models until convergence. The experimental results show that Logical-GLM is
both effective and efficient compared with traditional language models, despite
using smaller-scale training data and fewer parameters. Our approach can
generate instructional texts with more correct logic owing to the internalized
domain knowledge. Moreover, the usage of logical graphs reflects the inner
mechanism of the language models, which improves the interpretability of
black-box models.",4
2308.15126v1,cs.LG,Evaluation and Analysis of Hallucination in Large Vision-Language Models,"Large Vision-Language Models (LVLMs) have recently achieved remarkable
success. However, LVLMs are still plagued by the hallucination problem, which
limits the practicality in many scenarios. Hallucination refers to the
information of LVLMs' responses that does not exist in the visual input, which
poses potential risks of substantial consequences. There has been limited work
studying hallucination evaluation in LVLMs. In this paper, we propose
Hallucination Evaluation based on Large Language Models (HaELM), an LLM-based
hallucination evaluation framework. HaELM achieves an approximate 95%
performance comparable to ChatGPT and has additional advantages including low
cost, reproducibility, privacy preservation and local deployment. Leveraging
the HaELM, we evaluate the hallucination in current LVLMs. Furthermore, we
analyze the factors contributing to hallucination in LVLMs and offer helpful
suggestions to mitigate the hallucination problem. Our training data and human
annotation hallucination data will be made public soon.",9
2308.15214v1,cs.CL,"FurChat: An Embodied Conversational Agent using LLMs, Combining Open and Closed-Domain Dialogue with Facial Expressions","We demonstrate an embodied conversational agent that can function as a
receptionist and generate a mixture of open and closed-domain dialogue along
with facial expressions, by using a large language model (LLM) to develop an
engaging conversation. We deployed the system onto a Furhat robot, which is
highly expressive and capable of using both verbal and nonverbal cues during
interaction. The system was designed specifically for the National Robotarium
to interact with visitors through natural conversations, providing them with
information about the facilities, research, news, upcoming events, etc. The
system utilises the state-of-the-art GPT-3.5 model to generate such information
along with domain-general conversations and facial expressions based on prompt
engineering.",7
2308.11580v1,physics.comp-ph,NIPG-DG schemes for transformed master equations modeling open quantum systems,"This work presents a numerical analysis of a master equation modeling the
interaction of a system with a noisy environment in the particular context of
open quantum systems. It is shown that our transformed master equation has a
reduced computational cost in comparison to a Wigner-Fokker-Planck model of the
same system for the general case of any potential. Specifics of a NIPG-DG
numerical scheme adequate for the convection-diffusion system obtained are then
presented. This will let us solve computationally the transformed system of
interest modeling our open quantum system. A benchmark problem, the case of a
harmonic potential, is then presented, for which the numerical results are
compared against the analytical steady-state solution of this problem.",3
2308.13986v1,math.NA,A Deep Learning Method for Computing Eigenvalues of the Fractional Schrödinger Operator,"We present a novel deep learning method for computing eigenvalues of the
fractional Schr\""odinger operator. Our approach combines a newly developed loss
function with an innovative neural network architecture that incorporates prior
knowledge of the problem. These improvements enable our method to handle both
high-dimensional problems and problems posed on irregular bounded domains. We
successfully compute up to the first 30 eigenvalues for various fractional
Schr\""odinger operators. As an application, we share a conjecture to the
fractional order isospectral problem that has not yet been studied.",2
2308.14902v1,cs.IR,Ad-Rec: Advanced Feature Interactions to Address Covariate-Shifts in Recommendation Networks,"Recommendation models are vital in delivering personalized user experiences
by leveraging the correlation between multiple input features. However, deep
learning-based recommendation models often face challenges due to evolving user
behaviour and item features, leading to covariate shifts. Effective
cross-feature learning is crucial to handle data distribution drift and
adapting to changing user behaviour. Traditional feature interaction techniques
have limitations in achieving optimal performance in this context.
  This work introduces Ad-Rec, an advanced network that leverages feature
interaction techniques to address covariate shifts. This helps eliminate
irrelevant interactions in recommendation tasks. Ad-Rec leverages masked
transformers to enable the learning of higher-order cross-features while
mitigating the impact of data distribution drift. Our approach improves model
quality, accelerates convergence, and reduces training time, as measured by the
Area Under Curve (AUC) metric. We demonstrate the scalability of Ad-Rec and its
ability to achieve superior model quality through comprehensive ablation
studies.",6
2308.15409v1,math.NA,An Incremental SVD Method for Non-Fickian Flows in Porous Media: Addressing Storage and Computational Challenges,"It is well known that the numerical solution of the Non-Fickian flows at the
current stage depends on all previous time instances. Consequently, the storage
requirement increases linearly, while the computational complexity grows
quadratically with the number of time steps. This presents a significant
challenge for numerical simulations, and to the best of our knowledge, it
remains an unresolved issue. In this paper, we present a memory-free algorithm,
based on the incremental SVD technique, that exhibits only linear growth in
computational complexity as the number of time steps increases. We prove that
the error between the solutions generated by the conventional algorithm and our
innovative approach lies within the scope of machine error. Numerical
experiments are showcased to affirm the accuracy and efficiency gains in terms
of both memory usage and computational expenses.",2
2308.15050v1,cs.CV,iBARLE: imBalance-Aware Room Layout Estimation,"Room layout estimation predicts layouts from a single panorama. It requires
datasets with large-scale and diverse room shapes to train the models. However,
there are significant imbalances in real-world datasets including the
dimensions of layout complexity, camera locations, and variation in scene
appearance. These issues considerably influence the model training performance.
In this work, we propose the imBalance-Aware Room Layout Estimation (iBARLE)
framework to address these issues. iBARLE consists of (1) Appearance Variation
Generation (AVG) module, which promotes visual appearance domain
generalization, (2) Complex Structure Mix-up (CSMix) module, which enhances
generalizability w.r.t. room structure, and (3) a gradient-based layout
objective function, which allows more effective accounting for occlusions in
complex layouts. All modules are jointly trained and help each other to achieve
the best performance. Experiments and ablation studies based on
ZInD~\cite{cruz2021zillow} dataset illustrate that iBARLE has state-of-the-art
performance compared with other layout estimation baselines.",1
